AGS;turnout;elec_cdu_csu;elec_spd;elec_greens;elec_fdp;elec_linke;elec_afd;elec_others
9472;59.800;45.691;11.153;13.603;2.552;1.808;8.484;16.708
9473;57.300;41.425;14.544;14.102;2.735;2.096;8.911;16.188
9474;63.800;42.211;9.019;17.264;3.149;2.169;8.605;17.583
9475;56.900;43.070;14.991;10.867;2.622;1.971;10.379;16.100
9476;56.700;47.599;14.967;10.033;2.192;1.943;9.334;13.933
9477;57.400;42.159;13.235;14.195;2.651;2.002;9.543;16.215
9478;57.700;47.470;10.003;12.492;2.412;1.855;9.912;15.856
9479;54.600;41.762;15.443;11.199;2.502;2.188;10.873;16.033
9561;54.000;33.932;11.479;20.535;3.059;3.691;10.216;17.088
9562;66.500;27.490;12.100;28.918;4.183;4.183;5.914;17.212
9563;56.500;27.960;14.124;24.808;3.461;4.915;8.882;15.850
9564;58.700;30.193;12.928;24.153;3.420;4.809;8.802;15.695
9565;59.700;35.973;12.312;22.592;3.263;2.910;8.439;14.511
9571;59.100;43.290;9.052;16.492;2.714;2.509;8.399;17.543
9572;66.500;37.635;11.075;22.134;3.467;2.407;7.679;15.602
9573;64.800;37.344;12.300;20.360;2.997;2.621;9.366;15.011
9574;65.300;38.251;11.512;20.050;2.695;2.641;8.365;16.485
9575;61.200;42.679;9.557;16.178;2.802;2.493;8.014;18.277
9576;63.100;42.049;10.151;17.911;2.698;2.276;8.528;16.387
9577;58.600;45.221;10.036;16.298;2.280;2.204;7.614;16.348
9661;56.500;32.838;11.363;23.281;4.462;3.659;8.949;15.448
9662;48.500;35.529;13.960;16.794;3.368;4.785;11.548;14.016
9663;63.200;28.972;10.442;31.228;4.544;3.898;5.920;14.996
9671;62.400;39.392;11.241;18.606;4.110;2.303;9.040;15.308
9672;60.100;48.501;8.449;13.757;3.021;2.528;9.062;14.683
9673;59.400;49.562;7.955;14.990;2.878;2.440;7.560;14.614
9674;60.800;45.973;10.248;12.828;2.760;2.370;9.370;16.451
9675;61.600;41.793;9.870;16.254;3.159;2.246;8.096;18.582
9676;59.700;41.339;11.249;16.722;3.542;2.381;8.209;16.558
9677;63.200;44.221;11.132;16.292;2.671;1.987;7.823;15.874
9678;62.500;46.174;9.536;15.110;3.042;2.373;8.848;14.918
9679;68.100;41.359;11.223;20.524;3.563;2.131;6.935;14.265
9761;55.600;30.714;10.098;25.631;3.641;3.876;8.940;17.099
9762;52.400;38.148;8.670;20.516;3.097;3.372;10.218;15.980
9763;56.300;32.981;8.498;21.955;4.231;2.941;9.299;20.095
9764;57.400;37.104;10.475;17.398;3.688;2.683;10.011;18.641
9771;63.200;45.051;7.189;16.599;3.135;1.540;9.484;17.003
9772;60.300;41.838;7.925;17.776;3.178;1.834;9.282;18.167
9773;54.700;45.996;7.209;13.477;3.064;1.518;11.238;17.499
9774;54.200;45.190;7.144;14.184;3.132;1.814;10.910;17.626
9775;55.900;38.384;9.595;19.365;4.279;2.321;10.080;15.976
9776;61.800;37.481;8.167;23.946;3.534;2.769;6.630;17.472
9777;61.500;44.903;6.446;17.752;2.790;1.969;7.354;18.787
9778;58.900;44.670;5.961;14.575;3.170;1.721;10.015;19.889
9779;59.000;50.482;8.077;13.779;2.538;1.659;8.174;15.291
9780;64.300;41.145;6.058;18.875;2.993;1.634;7.150;22.145
10041;61.500;28.326;22.585;15.980;3.930;6.792;9.246;13.142
10042;69.700;36.896;22.547;11.666;3.871;5.542;8.887;10.592
10043;65.100;32.227;25.401;10.796;3.489;6.335;10.644;11.109
10044;67.400;33.602;23.706;11.830;3.584;5.975;9.709;11.593
10045;69.400;31.127;21.311;14.321;4.016;5.516;11.066;12.643
10046;74.400;39.553;23.589;10.884;2.941;4.316;7.957;10.760
11000;60.600;15.216;14.046;27.822;4.748;11.938;9.897;16.334
12051;48.700;19.575;17.765;13.788;3.658;11.631;17.418;16.165
12052;57.300;16.207;15.932;9.769;4.922;12.588;24.633;15.950
12053;51.100;16.856;13.990;11.195;4.301;18.446;20.746;14.467
12054;63.900;12.546;17.802;23.159;4.323;14.614;10.896;16.660
12060;58.600;16.492;15.174;12.343;3.767;14.953;19.690;17.580
12061;63.100;17.886;16.756;12.021;4.405;11.694;20.716;16.522
12062;60.200;22.577;15.835;6.076;4.577;10.308;24.712;15.915
12063;59.500;19.676;17.564;15.299;4.711;9.921;17.911;14.919
12064;59.500;16.165;15.547;10.948;4.416;15.381;21.135;16.408
12065;61.200;18.657;17.704;13.840;4.543;10.949;18.705;15.602
12066;56.800;19.147;17.353;5.742;4.269;11.543;26.456;15.489
12067;59.100;16.188;16.378;9.816;4.466;13.384;22.304;17.464
12068;53.500;20.422;20.493;11.059;3.619;12.687;18.017;13.703
12069;65.900;19.423;18.698;17.091;5.139;10.193;14.705;14.753
12070;55.800;21.167;21.219;8.218;4.421;11.666;19.145;14.164
12071;61.400;18.043;15.608;6.338;4.818;10.259;30.880;14.054
12072;60.000;17.751;17.847;12.465;4.363;11.384;19.281;16.908
12073;54.500;20.773;19.095;8.103;3.460;13.089;20.810;14.669
13001;;;;;;;;
13002;;;;;;;;
13003;60.100;17.324;16.689;17.689;3.593;16.802;12.391;15.511
13004;59.000;19.525;18.557;13.853;4.158;14.911;15.769;13.227
13005;;;;;;;;
13006;;;;;;;;
13051;;;;;;;;
13052;;;;;;;;
13053;;;;;;;;
13054;;;;;;;;
13055;;;;;;;;
13056;;;;;;;;
13057;;;;;;;;
13058;;;;;;;;
13059;;;;;;;;
13060;;;;;;;;
13061;;;;;;;;
13062;;;;;;;;
13071;55.100;26.169;13.936;8.259;3.816;15.487;19.574;12.758
13072;61.200;26.373;15.893;10.195;4.019;12.836;17.207;13.477
13073;55.500;29.123;11.668;9.382;3.836;13.367;19.561;13.063
13074;60.300;22.849;19.774;12.160;3.736;12.929;15.831;12.721
13075;57.700;25.806;12.113;9.113;3.889;12.098;21.748;15.232
13076;60.500;25.335;19.111;8.372;4.104;13.284;17.126;12.668
14161;;;;;;;;
14166;;;;;;;;
14167;;;;;;;;
14171;;;;;;;;
14173;;;;;;;;
14177;;;;;;;;
14178;;;;;;;;
14181;;;;;;;;
14182;;;;;;;;
14188;;;;;;;;
14191;;;;;;;;
14193;;;;;;;;
14262;;;;;;;;
14263;;;;;;;;
14264;;;;;;;;
14272;;;;;;;;
14280;;;;;;;;
14284;;;;;;;;
14285;;;;;;;;
14286;;;;;;;;
14287;;;;;;;;
14290;;;;;;;;
14292;;;;;;;;
14365;;;;;;;;
14374;;;;;;;;
14375;;;;;;;;
14379;;;;;;;;
14383;;;;;;;;
14389;;;;;;;;
14511;62.400;20.065;10.352;11.195;5.156;13.883;23.521;15.828
14521;64.300;27.404;7.681;5.315;4.474;10.645;28.084;16.396
14522;64.200;26.663;7.887;6.249;4.662;10.618;28.451;15.469
14523;61.100;26.367;9.905;7.225;4.851;12.165;23.878;15.609
14524;60.400;26.191;9.096;7.177;5.002;12.081;24.120;16.333
14612;68.600;18.694;8.421;17.667;5.039;12.452;19.761;17.966
14625;65.200;24.810;6.865;5.673;4.946;10.239;32.071;15.395
14626;63.500;24.900;6.564;6.337;3.731;10.058;32.387;16.023
14627;64.400;23.565;7.172;7.950;5.042;9.807;31.041;15.423
14628;66.900;23.309;6.313;7.032;4.668;9.274;32.902;16.502
14713;61.600;16.134;10.661;20.188;4.207;14.960;15.535;18.314
14729;61.800;26.607;9.986;7.969;4.606;10.757;25.192;14.883
14730;58.400;25.670;10.187;6.784;4.710;10.833;26.679;15.137
15001;54.500;23.207;12.320;10.511;5.009;13.824;20.449;14.681
15002;57.700;17.825;11.354;16.993;5.183;15.616;16.066;16.962
15003;54.700;18.960;14.346;14.496;4.578;14.990;16.090;16.540
15081;56.200;24.611;14.204;8.767;4.440;16.443;17.166;14.369
15082;53.100;24.868;11.767;6.491;4.658;14.234;22.585;15.397
15083;53.500;25.586;13.821;7.519;4.783;12.686;20.420;15.186
15084;55.500;23.640;10.968;6.143;4.953;13.379;24.607;16.310
15085;53.500;26.656;13.195;9.140;4.274;14.513;17.929;14.292
15086;54.800;25.165;13.885;8.135;4.836;14.381;19.410;14.190
15087;53.700;22.504;12.133;5.278;5.081;15.262;25.294;14.449
15088;57.100;23.871;10.916;6.848;6.100;13.219;24.333;14.713
15089;50.000;24.503;12.510;6.789;5.286;14.772;21.659;14.481
15090;54.400;23.358;13.934;8.239;4.880;15.147;19.354;15.087
15091;57.600;24.683;11.923;6.823;4.081;12.896;21.822;17.772
15101;;;;;;;;
15151;;;;;;;;
